CANNOT chose from супоръ	 to 	супои, сугръ	 distance == 2
CANNOT chose from якимъ	 to 	ясинъ, гримъ, скима, яремъ, наимъ, китъ, киръ, симъ, заимъ, яковъ, ятинъ, римъ, якунъ	 distance == 2
CANNOT chose from ионафъ	 to 	иосифъ, иоанъ, игнатъ	 distance == 2
CANNOT chose from научивати	 to 	начинати, научати, научити	 distance == 2
CANNOT chose from отходный	 to 	оточный, отрадный	 distance == 2
CANNOT chose from безличный	 to 	безлѣпичный, различный	 distance == 2
CANNOT chose from прочисти	 to 	причисти, прочести	 distance == 1
CANNOT chose from теребити	 to 	перебити, трѣбити	 distance == 1
CANNOT chose from истовый	 to 	неистовый, истый	 distance == 2
CANNOT chose from прелститися	 to 	прелстити, прѣлстити	 distance == 2
CANNOT chose from распращати	 to 	распущати, расплакати	 distance == 2
CANNOT chose from кедасъ	 to 	квасъ, класъ	 distance == 2
CANNOT chose from сука	 to 	сутка, рука, суша, сума, мука, лука, щука, сула, сумка	 distance == 1
CANNOT chose from полѣти	 to 	болѣти, ползти, полоти, полѣзти	 distance == 1
CANNOT chose from бобъ	 to 	боръ, бобръ, богъ, кобъ, бокъ, лобъ	 distance == 1
CANNOT chose from притчати	 to 	пригнати, придати, примѣчати, приѣхати, прижати, призвати, пристати, прибрати, прилгати, прислати, приймати, кричати, привѣчати, питати	 distance == 2
CANNOT chose from пожирати	 to 	пожинати, побирати, пожигати, попирати	 distance == 1
CANNOT chose from излетѣти	 to 	низлетѣти, взлетѣти	 distance == 1
CANNOT chose from пострѣляти	 to 	истрѣляти, стрѣляти	 distance == 2
CANNOT chose from стрѣльный	 to 	стольный, тельный	 distance == 2
CANNOT chose from слѣпляти	 to 	слѣпити, оцѣпляти	 distance == 2
CANNOT chose from кудновъ	 to 	гудовъ, каиновъ, чудовъ, тудковъ	 distance == 2
CANNOT chose from скимный	 to 	срамный, сливный, скудный, смирный, ситный, свиный	 distance == 2
CANNOT chose from ласковець	 to 	засаковець, растовець	 distance == 2
CANNOT chose from нева	 to 	нево, нива	 distance == 1
CANNOT chose from готовати	 to 	готовити, уготовати	 distance == 1
CANNOT chose from забѣгнути	 to 	разбѣгнути, вбегнути, побѣгнути, вбѣгнути, избѣгнути, выбѣгнути, бѣгнути, отбѣгнути, загнути, завернути	 distance == 2
CANNOT chose from аммонъ	 to 	дѣмонъ, антонъ, лимонъ, аронъ, амосъ, симонъ	 distance == 2
CANNOT chose from погрети	 to 	погрести, погорѣти	 distance == 1
CANNOT chose from побѣчи	 to 	поречи, попечи	 distance == 1
CANNOT chose from сущий	 to 	сухий, пущий	 distance == 1
CANNOT chose from велгласный	 to 	безгласный, несгласный	 distance == 2
CANNOT chose from ратаиский	 to 	раиский, татарский	 distance == 2
CANNOT chose from взвестися	 to 	взвести, взвѣстити	 distance == 2
CANNOT chose from приметъ	 to 	примѣта, привѣтъ	 distance == 1
CANNOT chose from зеусъ	 to 	усъ, кусъ, зубъ	 distance == 2
CANNOT chose from изречение	 to 	извѣщение, речение, испечение, измѣнение	 distance == 2
CANNOT chose from охудѣвати	 to 	одѣвати, обуревати, оскудѣвати	 distance == 2
CANNOT chose from погань	 to 	огнь, погоня, подать	 distance == 2
CANNOT chose from углубити	 to 	губити, улучити	 distance == 2
CANNOT chose from ахаия	 to 	исаия, асия, агафя, аравия, захария	 distance == 2
CANNOT chose from наполнивати	 to 	дополнивати, наполнити	 distance == 2
CANNOT chose from кожный	 to 	ложный, косный	 distance == 1
CANNOT chose from порѣзывати	 to 	призывати, прозывати, прѣбывати	 distance == 2
CANNOT chose from ползѣти	 to 	ползати, ползти	 distance == 1
CANNOT chose from воищина	 to 	вотчина, волмина, вонкина, воина	 distance == 2
CANNOT chose from отимание	 to 	отдание, внимание	 distance == 2
CANNOT chose from куеве	 to 	киев, киевъ	 distance == 2
CANNOT chose from кипѣние	 to 	пѣние, успение, биение, крщение, видѣние, курение, лишение, корение, отпѣние, кажение, камение, имѣние, копание	 distance == 2
CANNOT chose from есхулъ	 to 	саулъ, стулъ	 distance == 2
CANNOT chose from полчище	 to 	портище, поприще	 distance == 2
CANNOT chose from порубити	 to 	погубити, поручити	 distance == 1
CANNOT chose from афракия	 to 	фракия, африкия	 distance == 1
CANNOT chose from галичь	 to 	алиль, алочь, палачь, капичь, галица, кличь	 distance == 2
CANNOT chose from воздрати	 to 	взирати, взорати, вздати, выдрати	 distance == 2
CANNOT chose from вышити	 to 	выпити, выбити	 distance == 1
CANNOT chose from зломыслъ	 to 	помыслъ, промыслъ	 distance == 2
CANNOT chose from цебръ	 to 	дебрь, цѣрь, бобръ, ребро	 distance == 2
CANNOT chose from амира	 to 	миръ, мина, гадира, асиръ, амиля, вира, мѣра	 distance == 2
CANNOT chose from претирати	 to 	прѣпирати, прѣзирати	 distance == 1
CANNOT chose from фома	 to 	фока, фота	 distance == 1
CANNOT chose from купный	 to 	ручный, рудный, скудный, сурный, судный, зубный, нужный, уный, косный, чудный, тучный, умный	 distance == 2
CANNOT chose from влещи	 to 	врещи, лещи, взлещи, влечи, вжещи	 distance == 1
CANNOT chose from еуфимия	 to 	еуфимий, евфимия	 distance == 1
CANNOT chose from алонъ	 to 	слонъ, аронъ	 distance == 1
CANNOT chose from тѣсность	 to 	ревность, тѣснота, лѣность, бѣдность	 distance == 2
CANNOT chose from куща	 to 	пуща, гуща, купа, куна	 distance == 1
CANNOT chose from лѣтний	 to 	лишний, лестный, ветхий, лѣпкий, летский, клѣтный, легкий	 distance == 2
CANNOT chose from отолстѣти	 to 	отомстити, оболстити	 distance == 2
CANNOT chose from тиунити	 to 	чинити, трудити, тѣснити, винити, тынити, тужити	 distance == 2
CANNOT chose from галъ	 to 	калъ, малъ, гадъ, валъ	 distance == 1
CANNOT chose from пригорѣние	 to 	прихожение, примирение, приношение	 distance == 2
CANNOT chose from укусати	 to 	укусити, кусати	 distance == 1
